Period,duolingo,duolingo spanish,what is duolingo,duolingo english,language learning app
2022(Q1),42.3,5.0,1.0,2.3,0.0
2022(Q2),50.3,4.7,1.7,3.0,0.0
2022(Q3),52.7,5.7,1.7,2.7,0.0
2022(Q4),59.3,7.0,2.0,3.0,0.0
2023(Q1),70.3,8.3,2.0,3.0,0.7
2023(Q2),59.7,7.0,2.0,3.0,0.7
2023(Q3),62.3,8.0,2.0,3.0,1.0
2023(Q4),66.7,5.7,2.0,3.0,0.7
2024(Q1),65.7,5.0,2.0,3.0,1.0
2024(Q2),62.3,4.3,2.3,2.7,1.0
2024(Q3),63.7,4.3,2.0,2.3,1.0
2024(Q4),64.7,4.0,2.0,3.0,1.0
2025(Q1),80.0,4.0,3.0,3.0,1.0
2025(Q2),58.3,3.7,2.7,2.0,1.0
2025(Q3),58.3,3.7,2.3,3.0,2.0
2025(Q4),61.3,4.0,3.3,3.0,1.7
