,Year,Quarter,duolingo,duolingo spanish,what is duolingo,duolingo english,language learning app
0,2022,1,42.3,5.0,1.0,2.3,0.0
1,2022,2,50.3,4.7,1.7,3.0,0.0
2,2022,3,52.7,5.7,1.7,2.7,0.0
3,2022,4,59.3,7.0,2.0,3.0,0.0
4,2023,1,70.3,8.3,2.0,3.0,0.7
5,2023,2,59.7,7.0,2.0,3.0,0.7
6,2023,3,62.3,8.0,2.0,3.0,1.0
7,2023,4,66.7,5.7,2.0,3.0,0.7
8,2024,1,65.7,5.0,2.0,3.0,1.0
9,2024,2,62.3,4.3,2.3,2.7,1.0
10,2024,3,63.7,4.3,2.0,2.3,1.0
11,2024,4,64.7,4.0,2.0,3.0,1.0
12,2025,1,80.0,4.0,3.0,3.0,1.0
13,2025,2,58.3,3.7,2.7,2.0,1.0
14,2025,3,58.3,3.7,2.3,3.0,2.0
15,2025,4,61.3,4.0,3.3,3.0,1.7
