"Time","duolingo"
"2021-03-01",23
"2021-04-01",23
"2021-05-01",21
"2021-06-01",22
"2021-07-01",22
"2021-08-01",25
"2021-09-01",27
"2021-10-01",27
"2021-11-01",28
"2021-12-01",27
"2022-01-01",40
"2022-02-01",39
"2022-03-01",42
"2022-04-01",53
"2022-05-01",50
"2022-06-01",42
"2022-07-01",39
"2022-08-01",52
"2022-09-01",63
"2022-10-01",57
"2022-11-01",59
"2022-12-01",59
"2023-01-01",69
"2023-02-01",70
"2023-03-01",68
"2023-04-01",58
"2023-05-01",60
"2023-06-01",54
"2023-07-01",49
"2023-08-01",62
"2023-09-01",72
"2023-10-01",69
"2023-11-01",64
"2023-12-01",58
"2024-01-01",66
"2024-02-01",66
"2024-03-01",61
"2024-04-01",76
"2024-05-01",57
"2024-06-01",45
"2024-07-01",40
"2024-08-01",58
"2024-09-01",76
"2024-10-01",66
"2024-11-01",63
"2024-12-01",64
"2025-01-01",69
"2025-02-01",100
"2025-03-01",64
"2025-04-01",65
"2025-05-01",64
"2025-06-01",46
"2025-07-01",49
"2025-08-01",54
"2025-09-01",67
"2025-10-01",63
"2025-11-01",59
"2025-12-01",55
"2026-01-01",58
"2026-02-01",61
"2026-03-01",66
